Date,Price
07 Nov 2022,7999
08 Nov 2022,7999
09 Nov 2022,7999
10 Nov 2022,7999
11 Nov 2022,7999
12 Nov 2022,7999
13 Nov 2022,7999
14 Nov 2022,7999
15 Nov 2022,7999
16 Nov 2022,7999
17 Nov 2022,7999
18 Nov 2022,7999
19 Nov 2022,7999
20 Nov 2022,7999
21 Nov 2022,7999
22 Nov 2022,7999
23 Nov 2022,7999
24 Nov 2022,7999
25 Nov 2022,7999
26 Nov 2022,7999
27 Nov 2022,7999
28 Nov 2022,7999
29 Nov 2022,7999
30 Nov 2022,7999
01 Dec 2022,7999
02 Dec 2022,7999
03 Dec 2022,7999
04 Dec 2022,7999
05 Dec 2022,7999
06 Dec 2022,7999
07 Dec 2022,7999
08 Dec 2022,7999
09 Dec 2022,7999
10 Dec 2022,7999
11 Dec 2022,7999
12 Dec 2022,5999
13 Dec 2022,5999
14 Dec 2022,5999
15 Dec 2022,9999
16 Dec 2022,5999
17 Dec 2022,5999
18 Dec 2022,5999
19 Dec 2022,5999
20 Dec 2022,5999
21 Dec 2022,5999
22 Dec 2022,9999
23 Dec 2022,9999
24 Dec 2022,7999
25 Dec 2022,7999
26 Dec 2022,7999
27 Dec 2022,7999
28 Dec 2022,7999
29 Dec 2022,7999
30 Dec 2022,7999
31 Dec 2022,7999
01 Jan 2023,7999
02 Jan 2023,7999
03 Jan 2023,7999
04 Jan 2023,7999
05 Jan 2023,7999
06 Jan 2023,7499
07 Jan 2023,7499
08 Jan 2023,7499
09 Jan 2023,9999
10 Jan 2023,9999
11 Jan 2023,5999
12 Jan 2023,5999
13 Jan 2023,5999
14 Jan 2023,9999
15 Jan 2023,5999
16 Jan 2023,5999
17 Jan 2023,5999
18 Jan 2023,6499
19 Jan 2023,5999
20 Jan 2023,5999
21 Jan 2023,9999
22 Jan 2023,7999
23 Jan 2023,7999
24 Jan 2023,5999
25 Jan 2023,5999
26 Jan 2023,5999
27 Jan 2023,7999
28 Jan 2023,6999
29 Jan 2023,6999
30 Jan 2023,6999
31 Jan 2023,6999
01 Feb 2023,7999
02 Feb 2023,7999
03 Feb 2023,5999
04 Feb 2023,5999
05 Feb 2023,5999
06 Feb 2023,5999
07 Feb 2023,7999
08 Feb 2023,7999
09 Feb 2023,6999
10 Feb 2023,6999
11 Feb 2023,6999
12 Feb 2023,6999
13 Feb 2023,7499
14 Feb 2023,7499
15 Feb 2023,7499
16 Feb 2023,7499
17 Feb 2023,7499
18 Feb 2023,7499
19 Feb 2023,7499
20 Feb 2023,7499
21 Feb 2023,7499
22 Feb 2023,7499
23 Feb 2023,7499
24 Feb 2023,7499
25 Feb 2023,7499
26 Feb 2023,7499
27 Feb 2023,7499
28 Feb 2023,7499
01 Mar 2023,7499
02 Mar 2023,7499
03 Mar 2023,6999
04 Mar 2023,6999
05 Mar 2023,6999
06 Mar 2023,6999
07 Mar 2023,6999
08 Mar 2023,6999
09 Mar 2023,6999
10 Mar 2023,7999
11 Mar 2023,6499
12 Mar 2023,6499
13 Mar 2023,6499
14 Mar 2023,6499
15 Mar 2023,6499
16 Mar 2023,7999
17 Mar 2023,7999
18 Mar 2023,7999
19 Mar 2023,7999
20 Mar 2023,7999
21 Mar 2023,7999
22 Mar 2023,6499
23 Mar 2023,6499
24 Mar 2023,7999
25 Mar 2023,7999
26 Mar 2023,7999
27 Mar 2023,7999
28 Mar 2023,7999
29 Mar 2023,7999
30 Mar 2023,7999
31 Mar 2023,7999
01 Apr 2023,7999
02 Apr 2023,7999
03 Apr 2023,7999
04 Apr 2023,7999
05 Apr 2023,7999
06 Apr 2023,7999
07 Apr 2023,7999
08 Apr 2023,7999
09 Apr 2023,7999
10 Apr 2023,7999
11 Apr 2023,7999
12 Apr 2023,7999
13 Apr 2023,7999
14 Apr 2023,7999
15 Apr 2023,7999
16 Apr 2023,7999
17 Apr 2023,7999
18 Apr 2023,9999
19 Apr 2023,9999
20 Apr 2023,9999
21 Apr 2023,9999
22 Apr 2023,9999
23 Apr 2023,9999
24 Apr 2023,9999
25 Apr 2023,9999
26 Apr 2023,9999
27 Apr 2023,9999
28 Apr 2023,9999
29 Apr 2023,9999
30 Apr 2023,9999
01 May 2023,9999
02 May 2023,9999
03 May 2023,9999
04 May 2023,7999
05 May 2023,7999
06 May 2023,7999
07 May 2023,7999
08 May 2023,7999
09 May 2023,7999
10 May 2023,7999
11 May 2023,9999
12 May 2023,9999
13 May 2023,9999
14 May 2023,9999
15 May 2023,9999
16 May 2023,9999
17 May 2023,9999
18 May 2023,9999
19 May 2023,7999
20 May 2023,7999
21 May 2023,7999
22 May 2023,9999
23 May 2023,9999
24 May 2023,9999
25 May 2023,9999
26 May 2023,9999
27 May 2023,9999
28 May 2023,9999
29 May 2023,9999
30 May 2023,9999
31 May 2023,9999
01 Jun 2023,7999
02 Jun 2023,9999
03 Jun 2023,9999
04 Jun 2023,9999
05 Jun 2023,9999
06 Jun 2023,9999
07 Jun 2023,7499
08 Jun 2023,7499
09 Jun 2023,7499
10 Jun 2023,7499
11 Jun 2023,7499
12 Jun 2023,7499
13 Jun 2023,7499
14 Jun 2023,7499
15 Jun 2023,7499
16 Jun 2023,7499
17 Jun 2023,7499
18 Jun 2023,7499
19 Jun 2023,5999
20 Jun 2023,5999
21 Jun 2023,5999
22 Jun 2023,5999
23 Jun 2023,5999
24 Jun 2023,5999
25 Jun 2023,6499
26 Jun 2023,7499
