Date,Price
07 Nov 2022,79900
08 Nov 2022,79900
09 Nov 2022,79900
10 Nov 2022,79900
11 Nov 2022,79900
12 Nov 2022,79900
13 Nov 2022,79900
14 Nov 2022,79900
15 Nov 2022,79900
16 Nov 2022,79900
17 Nov 2022,79900
18 Nov 2022,79900
19 Nov 2022,79900
20 Nov 2022,79900
21 Nov 2022,79900
22 Nov 2022,79900
23 Nov 2022,77400
24 Nov 2022,77400
25 Nov 2022,77400
26 Nov 2022,77400
27 Nov 2022,77400
28 Nov 2022,77400
29 Nov 2022,77400
30 Nov 2022,79900
01 Dec 2022,79900
02 Dec 2022,77400
03 Dec 2022,77400
04 Dec 2022,77400
05 Dec 2022,77400
06 Dec 2022,77400
07 Dec 2022,78740
08 Dec 2022,78740
09 Dec 2022,78740
10 Dec 2022,78740
11 Dec 2022,78740
12 Dec 2022,78740
13 Dec 2022,78740
14 Dec 2022,78740
15 Dec 2022,78740
16 Dec 2022,78740
17 Dec 2022,78740
18 Dec 2022,78740
19 Dec 2022,78740
20 Dec 2022,78740
21 Dec 2022,78740
22 Dec 2022,77490
23 Dec 2022,77490
24 Dec 2022,77490
25 Dec 2022,77490
26 Dec 2022,77490
27 Dec 2022,77490
28 Dec 2022,77490
29 Dec 2022,77490
30 Dec 2022,77490
31 Dec 2022,77490
01 Jan 2023,73990
02 Jan 2023,73990
03 Jan 2023,73990
04 Jan 2023,73990
05 Jan 2023,73990
06 Jan 2023,73990
07 Jan 2023,73990
08 Jan 2023,73990
09 Jan 2023,73990
10 Jan 2023,73990
11 Jan 2023,73990
12 Jan 2023,73990
13 Jan 2023,73990
14 Jan 2023,73990
15 Jan 2023,66999
16 Jan 2023,66999
17 Jan 2023,66999
18 Jan 2023,66999
19 Jan 2023,66999
20 Jan 2023,67999
21 Jan 2023,73999
22 Jan 2023,72999
23 Jan 2023,72999
24 Jan 2023,66999
25 Jan 2023,66999
26 Jan 2023,66999
27 Jan 2023,66999
28 Jan 2023,66999
29 Jan 2023,65999
30 Jan 2023,65999
31 Jan 2023,72999
01 Feb 2023,72999
02 Feb 2023,72999
03 Feb 2023,71999
04 Feb 2023,72499
05 Feb 2023,72499
06 Feb 2023,72499
07 Feb 2023,72499
08 Feb 2023,72499
09 Feb 2023,65999
10 Feb 2023,66999
11 Feb 2023,66999
12 Feb 2023,66999
13 Feb 2023,66999
14 Feb 2023,66999
15 Feb 2023,66999
16 Feb 2023,72499
17 Feb 2023,71999
18 Feb 2023,71999
19 Feb 2023,71999
20 Feb 2023,71999
21 Feb 2023,71999
22 Feb 2023,71999
23 Feb 2023,71999
24 Feb 2023,71999
25 Feb 2023,71999
26 Feb 2023,71999
27 Feb 2023,71999
28 Feb 2023,71999
01 Mar 2023,71999
02 Mar 2023,71999
03 Mar 2023,71999
04 Mar 2023,71999
05 Mar 2023,71999
06 Mar 2023,71999
07 Mar 2023,71999
08 Mar 2023,71999
09 Mar 2023,71999
10 Mar 2023,71999
11 Mar 2023,65999
12 Mar 2023,65999
13 Mar 2023,65999
14 Mar 2023,65999
15 Mar 2023,65999
16 Mar 2023,65999
17 Mar 2023,72999
18 Mar 2023,72999
19 Mar 2023,72999
20 Mar 2023,71999
21 Mar 2023,71999
22 Mar 2023,71999
23 Mar 2023,71999
24 Mar 2023,71999
25 Mar 2023,71999
26 Mar 2023,71999
27 Mar 2023,71999
28 Mar 2023,71999
29 Mar 2023,71999
30 Mar 2023,71999
31 Mar 2023,71999
01 Apr 2023,71999
02 Apr 2023,71999
03 Apr 2023,71999
04 Apr 2023,71999
05 Apr 2023,71999
06 Apr 2023,71999
07 Apr 2023,71999
08 Apr 2023,71999
09 Apr 2023,71999
10 Apr 2023,71999
11 Apr 2023,71999
12 Apr 2023,71999
13 Apr 2023,71999
14 Apr 2023,71999
15 Apr 2023,71999
16 Apr 2023,71999
17 Apr 2023,71999
18 Apr 2023,71999
19 Apr 2023,71999
20 Apr 2023,71999
21 Apr 2023,71999
22 Apr 2023,71999
23 Apr 2023,71999
24 Apr 2023,71999
25 Apr 2023,71999
26 Apr 2023,71999
27 Apr 2023,71999
28 Apr 2023,71999
29 Apr 2023,71999
30 Apr 2023,71999
01 May 2023,71999
02 May 2023,71999
03 May 2023,71999
04 May 2023,69999
05 May 2023,69999
06 May 2023,69999
07 May 2023,69999
08 May 2023,69999
09 May 2023,69999
10 May 2023,69999
11 May 2023,71999
12 May 2023,71999
13 May 2023,71999
14 May 2023,71999
15 May 2023,71999
16 May 2023,71999
17 May 2023,71999
18 May 2023,71999
19 May 2023,71999
20 May 2023,71999
21 May 2023,71999
22 May 2023,71999
23 May 2023,71999
24 May 2023,71999
25 May 2023,71999
26 May 2023,71999
27 May 2023,70999
28 May 2023,70999
29 May 2023,70999
30 May 2023,70999
31 May 2023,70999
01 Jun 2023,70999
02 Jun 2023,70999
03 Jun 2023,70999
04 Jun 2023,70999
05 Jun 2023,70999
06 Jun 2023,70999
07 Jun 2023,70999
08 Jun 2023,70999
09 Jun 2023,68999
10 Jun 2023,68999
11 Jun 2023,67999
12 Jun 2023,67999
13 Jun 2023,67999
14 Jun 2023,68999
15 Jun 2023,70999
16 Jun 2023,69999
17 Jun 2023,69999
18 Jun 2023,69999
19 Jun 2023,69999
20 Jun 2023,69999
21 Jun 2023,69999
22 Jun 2023,69999
23 Jun 2023,68999
24 Jun 2023,69999
25 Jun 2023,69999
26 Jun 2023,69999
27 Jun 2023,69999
28 Jun 2023,69999
29 Jun 2023,69999
30 Jun 2023,69999
01 Jul 2023,70999
02 Jul 2023,70999
03 Jul 2023,70999
04 Jul 2023,70999
05 Jul 2023,70999
06 Jul 2023,70999
07 Jul 2023,70999
08 Jul 2023,70999
09 Jul 2023,70999
10 Jul 2023,70999
11 Jul 2023,70999
12 Jul 2023,70999
13 Jul 2023,69999
14 Jul 2023,68999
15 Jul 2023,68999
16 Jul 2023,68999
17 Jul 2023,68999
18 Jul 2023,68999
19 Jul 2023,68999
20 Jul 2023,70999
21 Jul 2023,69999
22 Jul 2023,69999
23 Jul 2023,69999
24 Jul 2023,69999
25 Jul 2023,69999
26 Jul 2023,69999
27 Jul 2023,69999
28 Jul 2023,69999
29 Jul 2023,69999
30 Jul 2023,68999
31 Jul 2023,68999
01 Aug 2023,68999
02 Aug 2023,68999
03 Aug 2023,68999
04 Aug 2023,69999
05 Aug 2023,68999
06 Aug 2023,68999
07 Aug 2023,68999
08 Aug 2023,68999
09 Aug 2023,68999
10 Aug 2023,69999
11 Aug 2023,68999
12 Aug 2023,68999
13 Aug 2023,68999
14 Aug 2023,68999
15 Aug 2023,68999
16 Aug 2023,67999
17 Aug 2023,67999
18 Aug 2023,67999
19 Aug 2023,67999
20 Aug 2023,67999
21 Aug 2023,67999
22 Aug 2023,67999
23 Aug 2023,67999
24 Aug 2023,67999
25 Aug 2023,67999
26 Aug 2023,67999
27 Aug 2023,67999
28 Aug 2023,67999
29 Aug 2023,67999
30 Aug 2023,66999
31 Aug 2023,66999
01 Sep 2023,67999
02 Sep 2023,67999
03 Sep 2023,67999
04 Sep 2023,67999
05 Sep 2023,67999
06 Sep 2023,67999
07 Sep 2023,67999
08 Sep 2023,67999
09 Sep 2023,67999
10 Sep 2023,67999
11 Sep 2023,67999
12 Sep 2023,67999
13 Sep 2023,67999
14 Sep 2023,67999
15 Sep 2023,67999
16 Sep 2023,67999
17 Sep 2023,67999
18 Sep 2023,64999
19 Sep 2023,64999
20 Sep 2023,64999
21 Sep 2023,64999
22 Sep 2023,64999
23 Sep 2023,64999
24 Sep 2023,64999
25 Sep 2023,64999
26 Sep 2023,64999
27 Sep 2023,64999
28 Sep 2023,64999
29 Sep 2023,64999
30 Sep 2023,64999
01 Oct 2023,64999
02 Oct 2023,64999
03 Oct 2023,64999
04 Oct 2023,64999
05 Oct 2023,64999
06 Oct 2023,64999
07 Oct 2023,64999
08 Oct 2023,64999
09 Oct 2023,57999
10 Oct 2023,57999
11 Oct 2023,57999
12 Oct 2023,57999
13 Oct 2023,57999
14 Oct 2023,57999
15 Oct 2023,57999
16 Oct 2023,57999
17 Oct 2023,57999
18 Oct 2023,57999
19 Oct 2023,57999
20 Oct 2023,57999
21 Oct 2023,57999
22 Oct 2023,57999
23 Oct 2023,57999
24 Oct 2023,57999
25 Oct 2023,57999
26 Oct 2023,57999
27 Oct 2023,57999
28 Oct 2023,57999
29 Oct 2023,57999
30 Oct 2023,57999
31 Oct 2023,57999
01 Nov 2023,57999
02 Nov 2023,57999
03 Nov 2023,57999
04 Nov 2023,57999
05 Nov 2023,57999
06 Nov 2023,57999
07 Nov 2023,57999
08 Nov 2023,57999
09 Nov 2023,57999
10 Nov 2023,57999
11 Nov 2023,57999
12 Nov 2023,57999
13 Nov 2023,57999
14 Nov 2023,57999
15 Nov 2023,57999
16 Nov 2023,57999
17 Nov 2023,57999
18 Nov 2023,57999
19 Nov 2023,57999
20 Nov 2023,57999
21 Nov 2023,57999
22 Nov 2023,57999
23 Nov 2023,57999
24 Nov 2023,57999
25 Nov 2023,57999
26 Nov 2023,57999
27 Nov 2023,57999
28 Nov 2023,57999
29 Nov 2023,57999
30 Nov 2023,57999
01 Dec 2023,57999
02 Dec 2023,57999
03 Dec 2023,57999
04 Dec 2023,57999
05 Dec 2023,57999
06 Dec 2023,57999
07 Dec 2023,57999
08 Dec 2023,57999
09 Dec 2023,62999
10 Dec 2023,62999
11 Dec 2023,62999
12 Dec 2023,62999
13 Dec 2023,62999
14 Dec 2023,62999
15 Dec 2023,62999
16 Dec 2023,62999
17 Dec 2023,62999
18 Dec 2023,62999
19 Dec 2023,58999
20 Dec 2023,58999
21 Dec 2023,58999
22 Dec 2023,58999
23 Dec 2023,58999
24 Dec 2023,58999
25 Dec 2023,58999
26 Dec 2023,58999
27 Dec 2023,58999
28 Dec 2023,58999
29 Dec 2023,58999
30 Dec 2023,58999
31 Dec 2023,56999
01 Jan 2024,56999
02 Jan 2024,59999
03 Jan 2024,59999
04 Jan 2024,59999
05 Jan 2024,59999
06 Jan 2024,59999
07 Jan 2024,59999
08 Jan 2024,59999
09 Jan 2024,59999
10 Jan 2024,59999
11 Jan 2024,59999
12 Jan 2024,59999
13 Jan 2024,56999
14 Jan 2024,57999
15 Jan 2024,57999
16 Jan 2024,58999
17 Jan 2024,58999
18 Jan 2024,58999
19 Jan 2024,57999
20 Jan 2024,57999
21 Jan 2024,56999
22 Jan 2024,56999
23 Jan 2024,56999
24 Jan 2024,56999
25 Jan 2024,56999
26 Jan 2024,56999
27 Jan 2024,56999
28 Jan 2024,56999
29 Jan 2024,56999
30 Jan 2024,55999
31 Jan 2024,55999
01 Feb 2024,58999
02 Feb 2024,59999
03 Feb 2024,59999
04 Feb 2024,59999
05 Feb 2024,59999
06 Feb 2024,59999
07 Feb 2024,59999
08 Feb 2024,59999
09 Feb 2024,59999
10 Feb 2024,59999
11 Feb 2024,59999
12 Feb 2024,59999
13 Feb 2024,59999
14 Feb 2024,59999
15 Feb 2024,59999
16 Feb 2024,59999
17 Feb 2024,59999
18 Feb 2024,59999
19 Feb 2024,59999
20 Feb 2024,59999
21 Feb 2024,59999
22 Feb 2024,59999
23 Feb 2024,59999
24 Feb 2024,59999
25 Feb 2024,59999
26 Feb 2024,59999
27 Feb 2024,59999
28 Feb 2024,59999
29 Feb 2024,59999
01 Mar 2024,59999
02 Mar 2024,59999
03 Mar 2024,59999
