Date,Price
07 Nov 2022,119900
08 Nov 2022,119900
09 Nov 2022,119900
10 Nov 2022,119900
11 Nov 2022,112990
12 Nov 2022,112990
13 Nov 2022,112990
14 Nov 2022,112990
15 Nov 2022,114990
16 Nov 2022,114990
17 Nov 2022,114990
18 Nov 2022,112990
19 Nov 2022,112990
20 Nov 2022,112990
21 Nov 2022,112990
22 Nov 2022,112990
23 Nov 2022,112990
24 Nov 2022,112990
25 Nov 2022,112990
26 Nov 2022,112990
27 Nov 2022,112990
28 Nov 2022,112990
29 Nov 2022,112990
30 Nov 2022,112990
01 Dec 2022,112990
02 Dec 2022,112990
03 Dec 2022,112990
04 Dec 2022,112990
05 Dec 2022,112990
06 Dec 2022,112990
07 Dec 2022,112990
08 Dec 2022,112990
09 Dec 2022,112990
10 Dec 2022,112990
11 Dec 2022,112990
12 Dec 2022,112990
13 Dec 2022,112990
14 Dec 2022,112990
15 Dec 2022,112990
16 Dec 2022,112990
17 Dec 2022,112990
18 Dec 2022,112990
19 Dec 2022,112990
20 Dec 2022,112990
21 Dec 2022,112990
22 Dec 2022,113990
23 Dec 2022,113990
24 Dec 2022,113990
25 Dec 2022,113990
26 Dec 2022,113990
27 Dec 2022,113990
28 Dec 2022,113990
29 Dec 2022,113990
30 Dec 2022,113990
31 Dec 2022,113990
01 Jan 2023,113990
02 Jan 2023,111490
03 Jan 2023,111490
04 Jan 2023,113990
05 Jan 2023,113990
06 Jan 2023,113990
07 Jan 2023,113990
08 Jan 2023,113990
09 Jan 2023,113990
10 Jan 2023,112990
11 Jan 2023,112990
12 Jan 2023,112990
13 Jan 2023,113990
14 Jan 2023,113990
15 Jan 2023,109990
16 Jan 2023,109990
17 Jan 2023,105410
18 Jan 2023,105410
19 Jan 2023,105410
20 Jan 2023,105410
21 Jan 2023,105410
22 Jan 2023,105410
23 Jan 2023,105410
24 Jan 2023,105410
25 Jan 2023,105410
26 Jan 2023,105410
27 Jan 2023,105410
28 Jan 2023,105410
29 Jan 2023,105410
30 Jan 2023,105410
31 Jan 2023,105410
01 Feb 2023,113490
02 Feb 2023,113490
03 Feb 2023,113490
04 Feb 2023,113490
05 Feb 2023,113490
06 Feb 2023,113490
07 Feb 2023,113490
08 Feb 2023,113490
09 Feb 2023,113490
10 Feb 2023,113490
11 Feb 2023,113490
12 Feb 2023,113490
13 Feb 2023,113490
14 Feb 2023,113490
15 Feb 2023,113490
16 Feb 2023,113490
17 Feb 2023,113490
18 Feb 2023,113490
19 Feb 2023,113490
20 Feb 2023,113490
21 Feb 2023,113490
22 Feb 2023,113490
23 Feb 2023,113490
24 Feb 2023,113490
25 Feb 2023,113490
26 Feb 2023,113490
27 Feb 2023,113490
28 Feb 2023,113490
01 Mar 2023,113490
02 Mar 2023,113490
03 Mar 2023,113490
04 Mar 2023,113490
05 Mar 2023,113490
06 Mar 2023,113490
07 Mar 2023,113490
08 Mar 2023,113490
09 Mar 2023,113490
10 Mar 2023,113490
11 Mar 2023,119990
12 Mar 2023,119990
13 Mar 2023,119990
14 Mar 2023,119900
15 Mar 2023,119900
16 Mar 2023,113490
17 Mar 2023,113490
18 Mar 2023,113490
19 Mar 2023,113490
20 Mar 2023,119900
21 Mar 2023,119900
22 Mar 2023,119900
23 Mar 2023,119900
24 Mar 2023,119900
25 Mar 2023,119900
26 Mar 2023,119900
27 Mar 2023,119900
28 Mar 2023,119900
29 Mar 2023,119900
30 Mar 2023,119900
31 Mar 2023,119900
01 Apr 2023,119900
02 Apr 2023,119900
03 Apr 2023,119900
04 Apr 2023,119900
05 Apr 2023,119900
06 Apr 2023,119900
07 Apr 2023,119900
08 Apr 2023,106990
09 Apr 2023,106990
10 Apr 2023,106990
11 Apr 2023,106990
12 Apr 2023,106990
13 Apr 2023,106990
14 Apr 2023,106990
15 Apr 2023,106990
16 Apr 2023,106990
17 Apr 2023,106990
18 Apr 2023,106990
19 Apr 2023,106990
20 Apr 2023,106990
21 Apr 2023,106990
22 Apr 2023,106990
23 Apr 2023,106990
24 Apr 2023,106990
25 Apr 2023,106990
26 Apr 2023,106990
27 Apr 2023,106990
28 Apr 2023,106990
29 Apr 2023,105990
30 Apr 2023,105990
01 May 2023,105990
02 May 2023,105990
03 May 2023,106990
04 May 2023,106990
05 May 2023,106990
06 May 2023,106990
07 May 2023,106990
08 May 2023,106990
09 May 2023,106990
10 May 2023,106990
11 May 2023,106990
12 May 2023,106990
13 May 2023,106990
14 May 2023,106990
15 May 2023,106990
16 May 2023,106990
17 May 2023,106990
18 May 2023,106990
19 May 2023,106990
20 May 2023,106990
21 May 2023,106990
22 May 2023,106990
23 May 2023,106990
24 May 2023,105490
25 May 2023,105490
26 May 2023,105490
27 May 2023,105490
28 May 2023,105490
29 May 2023,105490
30 May 2023,105490
31 May 2023,105490
01 Jun 2023,105490
02 Jun 2023,110490
03 Jun 2023,110490
04 Jun 2023,110490
05 Jun 2023,110490
06 Jun 2023,110490
07 Jun 2023,110490
08 Jun 2023,110490
09 Jun 2023,110490
10 Jun 2023,107990
11 Jun 2023,107990
12 Jun 2023,107990
13 Jun 2023,107990
14 Jun 2023,107990
15 Jun 2023,110490
16 Jun 2023,106990
17 Jun 2023,106990
18 Jun 2023,106990
19 Jun 2023,106990
20 Jun 2023,106990
21 Jun 2023,106990
22 Jun 2023,106990
23 Jun 2023,106990
24 Jun 2023,106990
25 Jun 2023,106990
26 Jun 2023,106990
27 Jun 2023,106990
28 Jun 2023,106990
29 Jun 2023,106990
30 Jun 2023,106990
01 Jul 2023,106990
02 Jul 2023,106990
03 Jul 2023,106990
04 Jul 2023,106990
05 Jul 2023,106990
06 Jul 2023,106990
07 Jul 2023,106990
08 Jul 2023,106990
09 Jul 2023,106990
10 Jul 2023,106990
11 Jul 2023,106990
12 Jul 2023,106990
13 Jul 2023,106990
14 Jul 2023,106990
15 Jul 2023,106990
16 Jul 2023,106990
17 Jul 2023,106990
18 Jul 2023,106990
19 Jul 2023,106990
20 Jul 2023,106990
21 Jul 2023,106990
22 Jul 2023,106990
23 Jul 2023,106990
24 Jul 2023,106990
25 Jul 2023,106990
26 Jul 2023,106990
27 Jul 2023,106990
28 Jul 2023,106990
29 Jul 2023,106990
30 Jul 2023,106990
31 Jul 2023,106990
01 Aug 2023,106990
02 Aug 2023,106990
03 Aug 2023,106990
04 Aug 2023,106990
05 Aug 2023,106990
06 Aug 2023,106990
07 Aug 2023,106990
08 Aug 2023,106990
09 Aug 2023,106990
10 Aug 2023,106990
11 Aug 2023,106990
12 Aug 2023,106990
13 Aug 2023,106990
14 Aug 2023,106990
15 Aug 2023,106990
16 Aug 2023,106990
17 Aug 2023,106990
18 Aug 2023,106990
19 Aug 2023,106990
20 Aug 2023,106990
21 Aug 2023,106990
22 Aug 2023,106990
23 Aug 2023,106990
24 Aug 2023,106990
25 Aug 2023,106990
26 Aug 2023,106990
27 Aug 2023,106990
28 Aug 2023,106990
29 Aug 2023,106990
30 Aug 2023,106990
31 Aug 2023,106990
01 Sep 2023,106990
02 Sep 2023,106990
03 Sep 2023,106990
04 Sep 2023,106990
05 Sep 2023,106990
06 Sep 2023,106990
07 Sep 2023,106990
08 Sep 2023,106990
09 Sep 2023,106990
10 Sep 2023,106990
11 Sep 2023,106990
12 Sep 2023,106990
13 Sep 2023,106990
14 Sep 2023,106990
15 Sep 2023,106990
16 Sep 2023,106990
17 Sep 2023,106906
18 Sep 2023,106906
19 Sep 2023,106906
20 Sep 2023,106906
21 Sep 2023,106906
22 Sep 2023,106906
23 Sep 2023,106906
24 Sep 2023,106905
25 Sep 2023,106905
26 Sep 2023,106820
27 Sep 2023,106821
28 Sep 2023,107990
29 Sep 2023,107990
30 Sep 2023,107990
01 Oct 2023,107990
02 Oct 2023,94990
03 Oct 2023,94990
04 Oct 2023,94990
05 Oct 2023,94990
06 Oct 2023,94990
07 Oct 2023,94990
08 Oct 2023,89990
09 Oct 2023,89990
10 Oct 2023,89990
11 Oct 2023,89990
12 Oct 2023,87990
13 Oct 2023,87990
14 Oct 2023,87990
15 Oct 2023,87990
16 Oct 2023,89990
17 Oct 2023,94990
18 Oct 2023,94990
19 Oct 2023,94990
20 Oct 2023,94990
21 Oct 2023,94990
22 Oct 2023,94990
23 Oct 2023,94990
24 Oct 2023,94990
25 Oct 2023,94990
26 Oct 2023,94990
27 Oct 2023,94990
28 Oct 2023,94990
29 Oct 2023,94990
30 Oct 2023,94990
31 Oct 2023,91990
01 Nov 2023,84990
02 Nov 2023,107990
03 Nov 2023,107990
04 Nov 2023,107990
05 Nov 2023,107990
06 Nov 2023,107990
07 Nov 2023,107990
08 Nov 2023,107990
09 Nov 2023,107990
10 Nov 2023,107990
11 Nov 2023,107990
12 Nov 2023,107990
13 Nov 2023,107990
14 Nov 2023,107990
15 Nov 2023,107990
16 Nov 2023,107990
17 Nov 2023,107990
18 Nov 2023,107990
19 Nov 2023,107990
20 Nov 2023,107990
21 Nov 2023,107990
22 Nov 2023,107990
23 Nov 2023,107990
24 Nov 2023,107990
25 Nov 2023,107990
26 Nov 2023,107990
27 Nov 2023,107990
28 Nov 2023,107990
29 Nov 2023,107990
30 Nov 2023,107990
01 Dec 2023,107990
02 Dec 2023,107990
03 Dec 2023,107990
04 Dec 2023,107990
05 Dec 2023,107990
06 Dec 2023,107990
07 Dec 2023,107990
08 Dec 2023,107990
09 Dec 2023,107990
10 Dec 2023,107990
11 Dec 2023,107990
12 Dec 2023,107990
13 Dec 2023,107990
14 Dec 2023,107990
15 Dec 2023,107990
16 Dec 2023,107990
17 Dec 2023,107990
18 Dec 2023,94990
19 Dec 2023,94990
20 Dec 2023,94990
21 Dec 2023,94990
22 Dec 2023,94990
23 Dec 2023,94990
24 Dec 2023,94990
25 Dec 2023,94990
26 Dec 2023,94990
27 Dec 2023,94990
28 Dec 2023,94990
29 Dec 2023,94990
30 Dec 2023,94990
31 Dec 2023,94990
01 Jan 2024,94990
02 Jan 2024,94990
03 Jan 2024,94990
04 Jan 2024,94990
05 Jan 2024,94990
06 Jan 2024,104990
07 Jan 2024,104990
08 Jan 2024,104990
09 Jan 2024,104990
10 Jan 2024,104990
11 Jan 2024,104990
12 Jan 2024,104990
13 Jan 2024,104990
14 Jan 2024,104990
15 Jan 2024,104990
16 Jan 2024,104990
17 Jan 2024,104990
18 Jan 2024,104990
19 Jan 2024,104990
20 Jan 2024,104990
21 Jan 2024,104990
22 Jan 2024,104990
23 Jan 2024,104990
24 Jan 2024,104990
25 Jan 2024,104990
26 Jan 2024,104990
27 Jan 2024,104990
28 Jan 2024,104990
29 Jan 2024,104990
30 Jan 2024,111990
31 Jan 2024,111990
01 Feb 2024,111990
02 Feb 2024,111990
03 Feb 2024,111990
04 Feb 2024,111990
05 Feb 2024,111990
06 Feb 2024,111990
07 Feb 2024,111990
08 Feb 2024,111990
09 Feb 2024,111990
10 Feb 2024,111990
11 Feb 2024,111990
12 Feb 2024,111990
13 Feb 2024,111990
14 Feb 2024,111990
15 Feb 2024,111990
16 Feb 2024,106990
17 Feb 2024,106990
18 Feb 2024,106990
19 Feb 2024,106990
20 Feb 2024,106990
21 Feb 2024,106990
22 Feb 2024,106990
23 Feb 2024,106990
24 Feb 2024,106990
25 Feb 2024,106990
26 Feb 2024,106990
27 Feb 2024,106990
28 Feb 2024,106990
29 Feb 2024,106990
01 Mar 2024,106990
02 Mar 2024,106990
03 Mar 2024,106990
04 Mar 2024,106990
05 Mar 2024,106990
06 Mar 2024,94990
07 Mar 2024,89990
08 Mar 2024,89990
09 Mar 2024,89990
10 Mar 2024,89990
11 Mar 2024,89990
12 Mar 2024,89990
13 Mar 2024,89990
14 Mar 2024,92990
15 Mar 2024,92990
16 Mar 2024,89990
17 Mar 2024,89990
18 Mar 2024,89990
19 Mar 2024,89990
20 Mar 2024,89990
21 Mar 2024,89990
22 Mar 2024,89990
23 Mar 2024,89990
24 Mar 2024,89990
25 Mar 2024,89990
26 Mar 2024,89990
27 Mar 2024,89990
28 Mar 2024,89990
29 Mar 2024,89990
30 Mar 2024,89990
31 Mar 2024,89990
01 Apr 2024,89990
02 Apr 2024,89990
03 Apr 2024,89990
04 Apr 2024,89990
05 Apr 2024,89990
06 Apr 2024,89990
07 Apr 2024,89990
08 Apr 2024,89990
09 Apr 2024,96990
10 Apr 2024,96990
11 Apr 2024,89990
12 Apr 2024,89990
13 Apr 2024,89990
14 Apr 2024,89990
15 Apr 2024,89990
16 Apr 2024,89990
17 Apr 2024,89990
18 Apr 2024,89990
19 Apr 2024,89990
20 Apr 2024,89990
21 Apr 2024,89990
22 Apr 2024,89990
23 Apr 2024,89990
24 Apr 2024,89990
25 Apr 2024,89990
26 Apr 2024,89990
27 Apr 2024,89990
28 Apr 2024,89990
29 Apr 2024,89990
30 Apr 2024,89990
01 May 2024,89990
02 May 2024,87990
03 May 2024,87990
04 May 2024,93990
05 May 2024,93990
06 May 2024,93990
07 May 2024,93990
08 May 2024,93990
09 May 2024,93990
10 May 2024,93990
11 May 2024,93990
12 May 2024,93990
13 May 2024,93990
14 May 2024,93990
15 May 2024,93990
16 May 2024,93990
17 May 2024,93990
18 May 2024,93990
19 May 2024,93990
20 May 2024,93990
21 May 2024,93990
22 May 2024,93990
23 May 2024,93990
24 May 2024,93990
25 May 2024,93990
26 May 2024,93990
27 May 2024,93990
28 May 2024,93990
29 May 2024,93990
30 May 2024,93990
31 May 2024,93990
01 Jun 2024,93990
02 Jun 2024,93990
03 Jun 2024,93990
04 Jun 2024,93990
05 Jun 2024,93990
06 Jun 2024,93990
07 Jun 2024,93990
08 Jun 2024,93990
09 Jun 2024,93990
10 Jun 2024,93990
11 Jun 2024,93990
12 Jun 2024,93990
13 Jun 2024,93990
14 Jun 2024,93990
15 Jun 2024,93990
16 Jun 2024,93990
17 Jun 2024,93990
18 Jun 2024,93990
19 Jun 2024,93990
20 Jun 2024,93990
21 Jun 2024,93990
22 Jun 2024,93990
23 Jun 2024,93990
24 Jun 2024,93990
25 Jun 2024,93990
26 Jun 2024,93990
27 Jun 2024,93990
28 Jun 2024,93990
29 Jun 2024,93990
30 Jun 2024,93990
01 Jul 2024,93990
02 Jul 2024,93990
03 Jul 2024,93990
04 Jul 2024,93990
05 Jul 2024,93990
06 Jul 2024,93990
07 Jul 2024,93990
08 Jul 2024,93990
09 Jul 2024,93990
10 Jul 2024,93990
11 Jul 2024,93990
12 Jul 2024,93990
13 Jul 2024,93990
14 Jul 2024,93990
15 Jul 2024,93990
16 Jul 2024,93990
17 Jul 2024,93990
18 Jul 2024,93990
19 Jul 2024,93990
20 Jul 2024,93990
21 Jul 2024,93990
22 Jul 2024,93990
23 Jul 2024,93990
24 Jul 2024,93990
25 Jul 2024,93990
26 Jul 2024,93990
27 Jul 2024,93990
28 Jul 2024,93990
29 Jul 2024,93990
30 Jul 2024,93990
31 Jul 2024,93990
01 Aug 2024,93990
02 Aug 2024,93990
03 Aug 2024,93990
04 Aug 2024,93990
05 Aug 2024,93990
06 Aug 2024,93990
07 Aug 2024,93990
08 Aug 2024,93990
09 Aug 2024,93990
10 Aug 2024,93990
11 Aug 2024,93990
12 Aug 2024,93990
13 Aug 2024,93990
14 Aug 2024,93990
15 Aug 2024,93990
16 Aug 2024,93990
17 Aug 2024,93990
18 Aug 2024,93990
19 Aug 2024,93990
20 Aug 2024,93990
21 Aug 2024,93990
22 Aug 2024,93990
23 Aug 2024,93990
24 Aug 2024,93990
25 Aug 2024,93990
26 Aug 2024,93990
27 Aug 2024,93990
28 Aug 2024,93990
29 Aug 2024,93990
30 Aug 2024,93990
31 Aug 2024,93990
01 Sep 2024,93990
02 Sep 2024,93990
03 Sep 2024,93990
04 Sep 2024,93990
05 Sep 2024,93990
06 Sep 2024,93990
07 Sep 2024,93990
08 Sep 2024,93990
09 Sep 2024,93990
10 Sep 2024,93990
11 Sep 2024,93990
12 Sep 2024,93990
13 Sep 2024,93990
14 Sep 2024,93990
15 Sep 2024,93990
16 Sep 2024,93990
17 Sep 2024,93990
18 Sep 2024,93990
19 Sep 2024,93990
20 Sep 2024,93990
21 Sep 2024,93990
22 Sep 2024,93990
23 Sep 2024,93990
24 Sep 2024,93990
25 Sep 2024,93990
26 Sep 2024,93990
27 Sep 2024,77990
28 Sep 2024,93990
29 Sep 2024,93990
30 Sep 2024,93990
01 Oct 2024,93990
02 Oct 2024,93990
03 Oct 2024,93990
04 Oct 2024,93990
05 Oct 2024,93990
06 Oct 2024,93990
07 Oct 2024,93990
08 Oct 2024,93990
09 Oct 2024,93990
10 Oct 2024,93990
11 Oct 2024,93990
12 Oct 2024,93990
13 Oct 2024,93990
14 Oct 2024,93990
15 Oct 2024,93990
16 Oct 2024,93990
17 Oct 2024,93990
18 Oct 2024,93990
19 Oct 2024,93990
20 Oct 2024,93990
21 Oct 2024,93990
22 Oct 2024,93990
23 Oct 2024,93990
24 Oct 2024,93990
25 Oct 2024,93990
26 Oct 2024,93990
27 Oct 2024,93990
28 Oct 2024,93990
29 Oct 2024,93990
30 Oct 2024,93990
31 Oct 2024,93990
01 Nov 2024,93990
02 Nov 2024,93990
03 Nov 2024,93990
04 Nov 2024,93990
05 Nov 2024,93990
06 Nov 2024,93990
07 Nov 2024,93990
08 Nov 2024,87990
09 Nov 2024,87990
10 Nov 2024,87990
11 Nov 2024,87990
12 Nov 2024,83990
13 Nov 2024,83990
