Date,Price
07 Nov 2022,1119
08 Nov 2022,1119
09 Nov 2022,949
10 Nov 2022,949
11 Nov 2022,949
12 Nov 2022,1190
13 Nov 2022,1150
14 Nov 2022,1150
15 Nov 2022,889
16 Nov 2022,889
17 Nov 2022,889
18 Nov 2022,889
19 Nov 2022,889
20 Nov 2022,889
21 Nov 2022,889
22 Nov 2022,889
23 Nov 2022,889
24 Nov 2022,919
25 Nov 2022,919
26 Nov 2022,919
27 Nov 2022,919
28 Nov 2022,919
29 Nov 2022,1149
30 Nov 2022,1099
01 Dec 2022,1099
02 Dec 2022,1099
03 Dec 2022,1099
04 Dec 2022,1099
05 Dec 2022,1099
06 Dec 2022,1099
07 Dec 2022,869
08 Dec 2022,959
09 Dec 2022,959
10 Dec 2022,929
11 Dec 2022,929
12 Dec 2022,929
13 Dec 2022,929
14 Dec 2022,929
15 Dec 2022,929
16 Dec 2022,929
17 Dec 2022,929
18 Dec 2022,929
19 Dec 2022,929
20 Dec 2022,929
21 Dec 2022,929
22 Dec 2022,929
23 Dec 2022,929
24 Dec 2022,929
25 Dec 2022,929
26 Dec 2022,929
27 Dec 2022,929
28 Dec 2022,899
29 Dec 2022,899
30 Dec 2022,899
31 Dec 2022,899
01 Jan 2023,899
02 Jan 2023,899
03 Jan 2023,899
04 Jan 2023,899
05 Jan 2023,899
06 Jan 2023,889
07 Jan 2023,889
08 Jan 2023,889
09 Jan 2023,899
10 Jan 2023,889
11 Jan 2023,889
12 Jan 2023,889
13 Jan 2023,889
14 Jan 2023,889
15 Jan 2023,889
16 Jan 2023,889
17 Jan 2023,889
18 Jan 2023,889
19 Jan 2023,889
20 Jan 2023,889
21 Jan 2023,889
22 Jan 2023,889
23 Jan 2023,879
24 Jan 2023,879
25 Jan 2023,879
26 Jan 2023,879
27 Jan 2023,879
28 Jan 2023,879
29 Jan 2023,879
30 Jan 2023,879
31 Jan 2023,879
01 Feb 2023,879
02 Feb 2023,879
03 Feb 2023,879
04 Feb 2023,879
05 Feb 2023,879
06 Feb 2023,879
07 Feb 2023,879
08 Feb 2023,889
09 Feb 2023,889
10 Feb 2023,1196
11 Feb 2023,1196
12 Feb 2023,1196
13 Feb 2023,889
14 Feb 2023,889
15 Feb 2023,889
16 Feb 2023,899
17 Feb 2023,899
18 Feb 2023,899
19 Feb 2023,899
20 Feb 2023,899
21 Feb 2023,899
22 Feb 2023,869
23 Feb 2023,869
24 Feb 2023,869
25 Feb 2023,869
26 Feb 2023,869
27 Feb 2023,869
28 Feb 2023,869
01 Mar 2023,859
02 Mar 2023,859
03 Mar 2023,1196
04 Mar 2023,859
05 Mar 2023,859
06 Mar 2023,859
07 Mar 2023,859
08 Mar 2023,859
09 Mar 2023,859
10 Mar 2023,859
11 Mar 2023,859
12 Mar 2023,859
13 Mar 2023,859
14 Mar 2023,859
15 Mar 2023,859
16 Mar 2023,859
17 Mar 2023,819
18 Mar 2023,819
19 Mar 2023,819
20 Mar 2023,819
21 Mar 2023,819
22 Mar 2023,819
23 Mar 2023,819
24 Mar 2023,819
25 Mar 2023,819
26 Mar 2023,819
27 Mar 2023,839
28 Mar 2023,839
29 Mar 2023,839
30 Mar 2023,839
31 Mar 2023,839
01 Apr 2023,929
02 Apr 2023,929
03 Apr 2023,929
04 Apr 2023,819
05 Apr 2023,819
06 Apr 2023,819
07 Apr 2023,819
08 Apr 2023,819
09 Apr 2023,819
10 Apr 2023,819
11 Apr 2023,819
12 Apr 2023,819
13 Apr 2023,819
14 Apr 2023,819
15 Apr 2023,819
16 Apr 2023,819
17 Apr 2023,819
18 Apr 2023,819
19 Apr 2023,819
20 Apr 2023,819
21 Apr 2023,819
22 Apr 2023,819
23 Apr 2023,819
24 Apr 2023,819
25 Apr 2023,819
26 Apr 2023,819
27 Apr 2023,819
28 Apr 2023,839
29 Apr 2023,809
30 Apr 2023,809
01 May 2023,809
02 May 2023,809
03 May 2023,802
04 May 2023,807
05 May 2023,807
06 May 2023,807
07 May 2023,807
08 May 2023,807
09 May 2023,807
10 May 2023,807
11 May 2023,794
12 May 2023,839
13 May 2023,839
14 May 2023,839
15 May 2023,839
16 May 2023,839
17 May 2023,839
18 May 2023,839
19 May 2023,819
20 May 2023,819
21 May 2023,819
22 May 2023,819
23 May 2023,819
24 May 2023,829
25 May 2023,829
26 May 2023,794
27 May 2023,794
28 May 2023,829
29 May 2023,829
30 May 2023,829
31 May 2023,829
01 Jun 2023,819
02 Jun 2023,819
03 Jun 2023,819
04 Jun 2023,819
05 Jun 2023,819
06 Jun 2023,819
07 Jun 2023,819
08 Jun 2023,819
09 Jun 2023,819
10 Jun 2023,809
11 Jun 2023,809
12 Jun 2023,809
13 Jun 2023,809
14 Jun 2023,809
15 Jun 2023,809
16 Jun 2023,809
17 Jun 2023,809
18 Jun 2023,809
19 Jun 2023,809
20 Jun 2023,789
21 Jun 2023,789
22 Jun 2023,789
23 Jun 2023,809
24 Jun 2023,809
25 Jun 2023,809
26 Jun 2023,809
27 Jun 2023,809
28 Jun 2023,809
29 Jun 2023,809
30 Jun 2023,809
01 Jul 2023,809
02 Jul 2023,809
03 Jul 2023,809
04 Jul 2023,799
05 Jul 2023,799
06 Jul 2023,799
07 Jul 2023,799
08 Jul 2023,799
09 Jul 2023,799
10 Jul 2023,799
11 Jul 2023,799
12 Jul 2023,799
13 Jul 2023,799
14 Jul 2023,799
15 Jul 2023,799
16 Jul 2023,799
17 Jul 2023,799
18 Jul 2023,799
19 Jul 2023,799
20 Jul 2023,799
21 Jul 2023,799
22 Jul 2023,799
23 Jul 2023,799
24 Jul 2023,799
25 Jul 2023,799
26 Jul 2023,799
27 Jul 2023,799
28 Jul 2023,799
29 Jul 2023,799
30 Jul 2023,799
31 Jul 2023,799
01 Aug 2023,799
02 Aug 2023,809
03 Aug 2023,809
04 Aug 2023,789
05 Aug 2023,789
06 Aug 2023,789
07 Aug 2023,789
08 Aug 2023,789
09 Aug 2023,789
10 Aug 2023,809
11 Aug 2023,789
12 Aug 2023,809
13 Aug 2023,809
14 Aug 2023,809
15 Aug 2023,809
16 Aug 2023,809
17 Aug 2023,819
18 Aug 2023,819
19 Aug 2023,819
20 Aug 2023,819
21 Aug 2023,819
22 Aug 2023,819
23 Aug 2023,809
24 Aug 2023,809
25 Aug 2023,809
26 Aug 2023,809
27 Aug 2023,809
28 Aug 2023,809
29 Aug 2023,809
30 Aug 2023,809
31 Aug 2023,809
01 Sep 2023,809
02 Sep 2023,809
03 Sep 2023,809
04 Sep 2023,809
05 Sep 2023,809
06 Sep 2023,809
07 Sep 2023,809
08 Sep 2023,809
09 Sep 2023,809
10 Sep 2023,809
11 Sep 2023,809
12 Sep 2023,809
13 Sep 2023,809
14 Sep 2023,809
15 Sep 2023,809
16 Sep 2023,809
17 Sep 2023,809
18 Sep 2023,809
19 Sep 2023,809
20 Sep 2023,809
21 Sep 2023,809
22 Sep 2023,809
23 Sep 2023,809
24 Sep 2023,809
25 Sep 2023,809
26 Sep 2023,809
27 Sep 2023,809
28 Sep 2023,809
29 Sep 2023,859
30 Sep 2023,859
01 Oct 2023,859
02 Oct 2023,854
03 Oct 2023,854
04 Oct 2023,858
05 Oct 2023,858
06 Oct 2023,853
07 Oct 2023,857
08 Oct 2023,809
09 Oct 2023,809
10 Oct 2023,809
11 Oct 2023,809
12 Oct 2023,809
13 Oct 2023,809
14 Oct 2023,809
15 Oct 2023,808
16 Oct 2023,809
17 Oct 2023,809
18 Oct 2023,808
19 Oct 2023,808
20 Oct 2023,808
21 Oct 2023,808
22 Oct 2023,808
23 Oct 2023,808
24 Oct 2023,808
25 Oct 2023,808
26 Oct 2023,808
27 Oct 2023,808
28 Oct 2023,808
29 Oct 2023,808
30 Oct 2023,808
31 Oct 2023,808
01 Nov 2023,808
02 Nov 2023,833
03 Nov 2023,833
04 Nov 2023,833
05 Nov 2023,833
06 Nov 2023,833
07 Nov 2023,833
08 Nov 2023,833
09 Nov 2023,833
10 Nov 2023,833
11 Nov 2023,833
12 Nov 2023,833
13 Nov 2023,833
14 Nov 2023,833
15 Nov 2023,833
16 Nov 2023,833
17 Nov 2023,833
18 Nov 2023,833
19 Nov 2023,833
20 Nov 2023,833
21 Nov 2023,833
22 Nov 2023,833
23 Nov 2023,833
24 Nov 2023,833
25 Nov 2023,833
26 Nov 2023,833
27 Nov 2023,833
28 Nov 2023,833
29 Nov 2023,833
30 Nov 2023,833
01 Dec 2023,833
02 Dec 2023,833
03 Dec 2023,833
04 Dec 2023,833
05 Dec 2023,833
06 Dec 2023,833
07 Dec 2023,899
08 Dec 2023,899
09 Dec 2023,899
10 Dec 2023,899
11 Dec 2023,899
12 Dec 2023,899
13 Dec 2023,899
14 Dec 2023,899
15 Dec 2023,899
16 Dec 2023,899
17 Dec 2023,899
18 Dec 2023,899
19 Dec 2023,899
20 Dec 2023,899
21 Dec 2023,899
22 Dec 2023,899
23 Dec 2023,899
24 Dec 2023,899
25 Dec 2023,899
26 Dec 2023,899
27 Dec 2023,899
28 Dec 2023,899
29 Dec 2023,899
30 Dec 2023,899
31 Dec 2023,899
01 Jan 2024,899
02 Jan 2024,899
03 Jan 2024,899
04 Jan 2024,899
05 Jan 2024,899
06 Jan 2024,899
07 Jan 2024,899
08 Jan 2024,899
09 Jan 2024,899
10 Jan 2024,899
11 Jan 2024,899
12 Jan 2024,899
13 Jan 2024,899
14 Jan 2024,899
15 Jan 2024,929
16 Jan 2024,929
17 Jan 2024,929
18 Jan 2024,929
19 Jan 2024,929
20 Jan 2024,929
21 Jan 2024,929
22 Jan 2024,929
23 Jan 2024,929
24 Jan 2024,929
25 Jan 2024,929
26 Jan 2024,929
27 Jan 2024,929
28 Jan 2024,929
29 Jan 2024,929
30 Jan 2024,929
31 Jan 2024,929
01 Feb 2024,929
02 Feb 2024,929
03 Feb 2024,929
04 Feb 2024,929
05 Feb 2024,929
06 Feb 2024,929
07 Feb 2024,929
08 Feb 2024,929
09 Feb 2024,929
10 Feb 2024,929
11 Feb 2024,929
12 Feb 2024,929
13 Feb 2024,929
14 Feb 2024,929
15 Feb 2024,929
16 Feb 2024,899
17 Feb 2024,899
18 Feb 2024,899
19 Feb 2024,899
20 Feb 2024,899
21 Feb 2024,899
22 Feb 2024,899
23 Feb 2024,899
24 Feb 2024,899
25 Feb 2024,899
26 Feb 2024,899
27 Feb 2024,899
28 Feb 2024,899
29 Feb 2024,899
01 Mar 2024,899
02 Mar 2024,899
03 Mar 2024,899
04 Mar 2024,899
05 Mar 2024,899
06 Mar 2024,899
07 Mar 2024,899
08 Mar 2024,899
09 Mar 2024,899
10 Mar 2024,899
11 Mar 2024,899
12 Mar 2024,899
13 Mar 2024,899
14 Mar 2024,899
15 Mar 2024,899
16 Mar 2024,899
17 Mar 2024,899
18 Mar 2024,899
19 Mar 2024,899
20 Mar 2024,899
21 Mar 2024,899
22 Mar 2024,899
23 Mar 2024,899
24 Mar 2024,899
25 Mar 2024,899
26 Mar 2024,899
27 Mar 2024,899
28 Mar 2024,899
29 Mar 2024,899
30 Mar 2024,899
31 Mar 2024,899
01 Apr 2024,899
02 Apr 2024,899
03 Apr 2024,899
04 Apr 2024,899
05 Apr 2024,909
06 Apr 2024,909
07 Apr 2024,909
08 Apr 2024,909
09 Apr 2024,909
10 Apr 2024,909
11 Apr 2024,909
12 Apr 2024,909
13 Apr 2024,929
14 Apr 2024,929
15 Apr 2024,929
16 Apr 2024,929
17 Apr 2024,929
18 Apr 2024,929
19 Apr 2024,929
20 Apr 2024,929
21 Apr 2024,929
22 Apr 2024,929
23 Apr 2024,929
24 Apr 2024,929
25 Apr 2024,929
26 Apr 2024,929
27 Apr 2024,929
28 Apr 2024,929
29 Apr 2024,929
30 Apr 2024,929
